Privilege-495,24.02 ft / 7.32 m,"22,928 lb / 10,400 kg",27.84,0.82,159 gals / 602 L,71.33 ft / 21.74 m,185 gals / 700 L,Fractional  Sloop,Catamaran Twin Keel,Yanmar
Catana-47,25.08 ft / 7.64 m,"24,035 lb / 10,902 kg",28.85,0.86,158 gals / 598 L,70.60 ft / 21.52 m,177 gals / 670 L,Frac. Sloop (Rotating Spar),Catamaran Twin Dbrd.,
Outremer-45,23.62 ft / 7.20 m,"15,984 lb / 7,250 kg",28.88,0.89,,66.27 ft / 20.20 m,,Fractional  Sloop,Catamaran Twin Dbrd.,
Outremer-49,24.44 ft / 7.45 m,"22,000 lb / 9,979 kg",29.18,0.89,112 gals / 424 L,75.72 ft / 23.08 m,112 gals / 424 L,Fractional  Sloop,Catamaran Twin Dbrd.,Volvo Penta
Maine-Cat-41,23.00 ft / 7.01 m,"12,200 lb / 5,534 kg",30.18,0.91,92 gals / 348 L,59.50 ft / 18.14 m,120 gals / 454 L,Frac. Sloop (Rotating Spar),Catamaran Twin Dbrd.,Yanmar
Catana-50,26.02 ft / 7.93 m,"29,983 lb / 13,600 kg",30.46,0.86,227 gals / 860 L,77.76 ft / 23.70 m,211 gals / 800 L,Fractional  Sloop,Catamaran Twin Dbrd.,
,Beam,Displacement,S.A./Disp.,KSP,Fuel,Mast Height from DWL,Water,Rigging Type,Type,Make
Bali-4.3-LOFT,,,,,,,,,,
Nautitech-542,,,,,,,,,,
Leopard-43,,,,,,,,,,
Dolphin-Ocema-Ocema-42,,,,,,,,,,
Manta-42-MK-II,,,,,,,,,,
Fountaine-Pajot-Helia-44,,,,,,,,,,
Voyage-Yachts-500,,,,,,,,,,
Fountaine-Pajot-Astrea-42,,,,,,,,,,
Lagoon-410,,,,,,,,,,
Bali-4.0,,,,,,,,,,
Alliaura-Feeling-39-DI,,,,,,,,,,
Bali-5.4,,,,,,,,,,
Lagoon-570,30.00 ft / 9.14 m,"33,025 lb / 14,980 kg",,N/A,200 gals / 757 L,,"1,200 gals / 4,542 L",Fractional  Sloop,Catamaran Twin Keel,Yanmar
Antares-44GS,,,,,,,,,,
Lagoon-52-Sport,,,,,,,,,,
Leopard-48-Crewed-Version,,,,,,,,,,
Chris-White-MastFoil-40,,,,,,,,,,
Lagoon-50-Owners-Version,,,,,,,,,,
Nautitech-442-Owners-Version,,,,,,,,,,
Lagoon-42-Owners-Version,,,,,,,,,,
Fountaine-Pajot-Bahia-46,,,,,,,,,,
Nautitech-44,,,,,,,,,,
Lagoon-400-Owners-Version,,,,,,,,,,
Voyage-Yachts-500-Owner's-Version,,,,,,,,,,
Antares-44i,,,,,,,,,,
Lagoon-52F,,,,,,,,,,
Chris-White-Atlantic-48,,,,,,,,,,
Lagoon-450S,,,,,,,,,,
Dix-Harvey-DH550,,,,,,,,,,
HH-Catamarans-HH55-Catamaran,,,,,,,,,,
Fountaine-Pajot-Orana-44,,,,,,,,,,
Fountaine-Pajot-SABA-50-Maestro,,,,,,,,,,
Fountaine-Pajot-Helia-44-Maestro,,,,,,,,,,
Make-Variant,,,,,,,,,,
Seawind-1250,,,,,,,,,,
Lagoon-450F,,,,,,,,,,
Fountaine-Pajot-Belize-43,,,,,,,,,,
Fountaine-Pajot-Lucia-40-Owner's-Version,,,,,,,,,,
Bali-4.1,,,,,,,,,,
Leopard-40,,,,,,,,,,
Fountaine-Pajot-SABA-50,,,,,,,,,,
Fountaine-Pajot-Lipari-41,,,,,,,,,,
Voyage-Yachts-Voyage-480,,,,,,,,,,
Lagoon-400-S2,,,,,,,,,,
Nautitech-Open-40,,,,,,,,,,
Lagoon-50F,,,,,,,,,,
Knysna-440,23.62 ft / 7.20 m,"19,841 lb / 9,000 kg",,N/A,158 gals / 598 L,,158 gals / 598 L,Fractional  Sloop,Catamaran Twin Keel,Yanmar
Lagoon-380-S2,,,,,,,,,,
Nautitech-40.2,,,,,,,,,,
Fountaine-Pajot-Lavezzi-40,,,,,,,,,,
Bali-4.5,,,,,,,,,,
Leopard-46,,,,,,,,,,
Fountaine-Pajot-Helia-44-Evolution,,,,,,,,,,
Catana-47-Ocean-Class,,,,,,,,,,
Fountaine-Pajot-Pajot-Bahia-46,,,,,,,,,,
Lagoon-45F,,,,,,,,,,
Chris-White-Atlantic-49MF,,,,,,,,,,
Leopard-Sunsail-404,,,,,,,,,,
Fountaine-Pajot-Salina-48-Evolution,,,,,,,,,,
Bali-4.6,,,,,,,,,,
Nautitech-441,,,,,,,,,,
Fountaine-Pajot-Salina-48,,,,,,,,,,
Lagoon-421,,,,,,,,,,
Nautitech-402,,,,,,,,,,
Seawind-1260,,,,,,,,,,
Broadblue-415,,,,,,,,,,
Lagoon-410-S2,,,,,,,,,,
Fountaine-Pajot-Athena-38,,,,,,,,,,
Fountaine-Pajot-Lucia-40,,,,,,,,,,
Nautitech-46-Fly,,,,,,,,,,
Lagoon-450-Owners-Version,,,,,,,,,,
Seawind-1190-Sport,,,,,,,,,,
Fountaine-Pajot-Saona-47,,,,,,,,,,
Lagoon-450s,,,,,,,,,,
Bali-4.3,,,,,,,,,,
Privilege-Series-5,,,,,,,,,,
Voyage-Yachts-Voyage-520-DC,,,,,,,,,,
Lagoon-380-Owners-Version,,,,,,,,,,
Manta-42-MK-IV,,,,,,,,,,
Broadblue-435,,,,,,,,,,
