Rustler-42,13.33 ft / 4.06 m,"26,000 lb / 11,793 kg",17.39,75 gals / 284 L,110 gals / 416 L,Cutter,Nanni,Fin with rudder on skeg,
ShearWater-39,12.80 ft / 3.90 m,"21,605 lb / 9,800 kg",17.41,,,Cutter,,Fin w/transom hung rudder,
Elan-GT5,12.83 ft / 3.91 m,"19,070 lb / 8,650 kg",17.44,38 gals / 144 L,58 gals / 220 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & dual rudders,60.33 ft / 18.39 m
Catalina-385,13.08 ft / 3.99 m,"15,500 lb / 7,031 kg",17.49,42 gals / 159 L,55 gals / 208 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,54.00 ft / 16.46 m
Moody-45-DS,14.99 ft / 4.57 m,"29,983 lb / 13,600 kg",17.55,158 gals / 598 L,211 gals / 799 L,Fractional  Sloop,Yanmar,Fin w/bulb & dual rudders,
Wauquiez-Pilot-Saloon-42,14.24 ft / 4.34 m,"26,550 lb / 12,043 kg",17.56,110 gals / 416 L,162 gals / 613 L,Fractional  Sloop,Yanmar,Fin w/bulb & dual rudders,62.89 ft / 19.17 m
Bavaria-Vision-46,13.75 ft / 4.19 m,"27,117 lb / 12,300 kg",17.58,55 gals / 208 L,153 gals / 579 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,65.95 ft / 20.10 m
Contest-50CS,15.03 ft / 4.58 m,"38,580 lb / 17,500 kg",17.59,140 gals / 530 L,158 gals / 598 L,Masthead Sloop,Yanmar,Fin w/bulb & spade rudder,77.30 ft / 23.56 m
Zuanelli-40,12.80 ft / 3.90 m,"17,200 lb / 7,802 kg",17.64,60 gals / 227 L,106 gals / 401 L,Masthead Sloop,Volvo Penta,Fin with rudder on skeg,
Sabre-426,13.42 ft / 4.09 m,"24,000 lb / 10,886 kg",17.76,60 gals / 227 L,120 gals / 454 L,Masthead Sloop,Yanmar,Fin w/bulb & spade rudder,59.00 ft / 17.98 m
Hanse-385,12.73 ft / 3.88 m,"16,755 lb / 7,600 kg",17.76,42 gals / 159 L,84 gals / 318 L,Fractional  Sloop,,Fin w/bulb & spade rudder,56.76 ft / 17.30 m
Hallberg-Rassy-40,12.53 ft / 3.82 m,"22,046 lb / 10,000 kg",17.77,118 gals / 445 L,122 gals / 460 L,Masthead Sloop,Volvo Penta,Fin w/rudder on partial skeg,60.04 ft / 18.30 m
Catalina-400-MK-II,13.50 ft / 4.11 m,"19,700 lb / 8,936 kg",17.79,35 gals / 132 L,110 gals / 416 L,Masthead Sloop,Yanmar,Fin w/bulb & spade rudder,58.00 ft / 17.68 m
Hallberg-Rassy-48,14.76 ft / 4.50 m,"40,786 lb / 18,500 kg",18.01,211 gals / 800 L,240 gals / 910 L,Masthead Sloop,Volvo Penta,Fin w/rudder on partial skeg,71.36 ft / 21.75 m
Catalina-470,14.00 ft / 4.27 m,"27,000 lb / 12,247 kg",18.03,84 gals / 318 L,214 gals / 810 L,Masthead Sloop,Yanmar,Fin w/bulb & spade rudder,63.33 ft / 19.30 m
Island-Packet-440,14.33 ft / 4.37 m,"32,000 lb / 14,515 kg",18.03,160 gals / 606 L,260 gals / 984 L,Cutter,Yanmar,Long keel w/rudder on skeg,62.00 ft / 18.90 m
Contest-42CS,13.45 ft / 4.10 m,"29,762 lb / 13,500 kg",18.17,76 gals / 288 L,114 gals / 432 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,69.16 ft / 21.08 m
Tartan-4400,14.10 ft / 4.30 m,"24,000 lb / 10,886 kg",18.21,80 gals / 303 L,200 gals / 757 L,Masthead Sloop,,Fin w/bulb & spade rudder,
Hanse-388,12.80 ft / 3.90 m,"17,835 lb / 8,090 kg",18.21,42 gals / 159 L,78 gals / 295 L,Fractional  Sloop,,Fin w/bulb & spade rudder,57.75 ft / 17.60 m
Sunbeam-39,12.80 ft / 3.90 m,"19,842 lb / 9,000 kg",18.33,53 gals / 200 L,119 gals / 450 L,Masthead Sloop,Yanmar,Fin w/spade rudder,47.24 ft / 14.40 m
Hanse-411,13.29 ft / 4.05 m,"21,385 lb / 9,700 kg",18.42,26 gals / 100 L,58 gals / 220 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,64.14 ft / 19.55 m
Hallberg-Rassy-412,13.48 ft / 4.11 m,"24,471 lb / 11,100 kg",18.46,91 gals / 344 L,180 gals / 680 L,Fractional  Sloop,Volvo Penta,Fin w/spade rudder,64.47 ft / 19.65 m
Wauquiez-Pilot-Saloon-47,14.80 ft / 4.51 m,"30,864 lb / 14,000 kg",18.48,172 gals / 651 L,162 gals / 613 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,
Contest-45CS,13.45 ft / 4.10 m,"29,762 lb / 13,500 kg",18.55,76 gals / 286 L,111 gals / 420 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,69.16 ft / 21.08 m
Sabre-386,12.66 ft / 3.86 m,"16,949 lb / 7,688 kg",18.57,40 gals / 151 L,100 gals / 379 L,Masthead Sloop,Yanmar,Fin w/bulb & spade rudder,56.33 ft / 17.17 m
Southerly-48,14.63 ft / 4.46 m,"41,868 lb / 18,991 kg",18.65,175 gals / 664 L,106 gals / 403 L,Fractional  Sloop,Yanmar,Swing keel w/dual rudders,71.75 ft / 21.87 m
Dehler-37,11.58 ft / 3.53 m,"11,300 lb / 5,126 kg",18.68,,,Masthead Sloop,Yanmar,Fin w/spade rudder,
Dufour-44-Performance,13.94 ft / 4.25 m,"22,366 lb / 10,145 kg",18.7,66 gals / 250 L,114 gals / 432 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,62.50 ft / 19.05 m
Hunter-380,12.58 ft / 3.83 m,"16,000 lb / 7,257 kg",18.72,30 gals / 114 L,75 gals / 284 L,B&R,Yanmar,Fin w/bulb & spade rudder,59.50 ft / 18.14 m
Sweden-Yachts-42,12.80 ft / 3.90 m,"22,046 lb / 10,000 kg",18.77,74 gals / 280 L,112 gals / 424 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,
Hanse-418,13.68 ft / 4.17 m,"22,377 lb / 10,150 kg",18.9,42 gals / 160 L,125 gals / 475 L,Fractional  Sloop,,Fin w/bulb & spade rudder,64.30 ft / 19.60 m
Najad-505,15.06 ft / 4.59 m,"41,667 lb / 18,900 kg",18.99,190 gals / 719 L,211 gals / 799 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,74.50 ft / 22.71 m
